Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
1/1/2000,-4.77,-0.87,-7.99,0.90,-4.71,-4.04,-11.23,7.56,5.75,-4.64
2/1/2000,-6.19,-7.95,-4.24,-5.44,18.18,-3.59,-3.86,-2.88,-7.26,-6.98
3/1/2000,7.74,10.51,8.36,12.26,3.95,7.57,13.28,0.28,5.77,14.12
4/1/2000,-1.82,9.27,0.96,-1.98,-10.69,-7.90,-4.27,5.25,7.60,-3.41
5/1/2000,7.22,-13.22,-1.41,9.44,-10.84,-10.41,-2.70,3.94,3.90,3.46
6/1/2000,2.39,-9.48,-1.14,-5.17,13.03,4.16,-2.32,11.51,-4.76,-2.82
7/1/2000,0.79,4.61,-0.63,-2.61,-5.18,-7.41,-1.37,-6.16,4.43,5.55
8/1/2000,-1.81,4.57,6.96,8.91,12.56,-0.96,-2.45,3.58,11.72,9.08
9/1/2000,3.46,-4.10,-6.06,4.37,-14.99,-4.07,2.70,3.72,9.63,0.36
10/1/2000,7.63,1.88,4.59,-3.05,-7.28,-0.42,-1.51,2.59,-2.25,-1.07
11/1/2000,2.78,-11.21,-3.63,-2.95,-23.36,-15.51,-1.37,0.79,3.10,-5.95
12/1/2000,5.46,1.07,7.14,7.75,-7.95,-4.38,5.62,3.53,6.58,7.18
1/1/2001,-1.92,13.20,-0.12,-3.39,16.53,14.39,6.63,-8.93,-10.77,0.05
2/1/2001,0.18,-1.25,-4.29,0.12,-25.96,-9.89,-5.35,-0.50,6.24,-4.38
3/1/2001,-4.65,-3.06,-7.31,-0.31,-13.59,-5.69,-2.87,-8.44,1.64,-4.11
4/1/2001,0.93,8.44,8.48,10.32,17.99,2.51,5.60,3.99,5.46,5.78
5/1/2001,3.35,-2.32,2.89,0.09,-3.33,-1.28,1.60,3.03,0.01,3.75
6/1/2001,-1.61,3.48,-4.52,-7.71,1.48,-3.00,-2.49,-2.85,-6.22,0.03
7/1/2001,-0.19,3.28,0.50,-2.55,-7.58,-0.67,4.59,2.30,-3.66,-2.27
8/1/2001,2.51,-11.36,-1.91,-3.59,-12.65,-9.24,-6.98,-3.11,0.42,-5.33
9/1/2001,-2.57,-16.90,-12.76,-5.65,-18.94,-2.45,-9.60,-0.59,-6.39,-8.30
10/1/2001,1.08,0.90,3.88,4.78,15.68,-9.39,1.64,1.18,1.41,-0.58
11/1/2001,2.08,15.50,8.35,-4.11,15.92,6.09,10.14,5.04,-1.63,7.92
12/1/2001,2.02,-0.91,2.67,6.16,-0.59,2.74,4.51,-2.88,3.85,3.30
1/1/2002,1.92,2.94,1.65,-2.99,-0.56,-7.14,2.76,-2.36,-4.07,-2.92
2/1/2002,4.36,3.05,4.30,5.19,-13.20,-2.39,-0.09,-0.51,-0.25,-0.52
3/1/2002,3.74,6.92,4.96,7.81,6.43,0.31,2.03,0.47,10.04,5.43
4/1/2002,2.66,1.74,-1.48,-4.40,-11.76,-12.71,-1.38,-7.59,-0.56,-3.74
5/1/2002,1.44,-0.21,-0.31,-0.59,-3.78,3.01,-1.26,-2.23,-6.47,-0.39
6/1/2002,-5.79,-8.11,-3.11,-0.44,-12.21,-14.40,-5.08,-9.60,-5.36,-5.38
7/1/2002,-6.72,-12.26,-8.51,-11.95,-9.63,-11.67,-11.31,-2.55,-12.30,-6.41
8/1/2002,2.49,0.38,-1.27,0.54,-0.88,0.33,1.90,0.65,3.38,1.14
9/1/2002,-7.68,-11.08,-8.26,-8.13,-16.74,-9.30,-9.40,-5.86,-10.86,-10.70
10/1/2002,5.22,-3.30,3.89,3.28,19.41,21.36,5.70,5.68,-0.68,6.38
11/1/2002,-1.27,12.07,6.23,3.17,16.13,11.76,1.93,3.71,1.62,4.61
12/1/2002,0.00,-7.26,-3.76,0.76,-13.03,-9.07,-6.94,-4.05,3.85,-4.98
1/1/2003,-4.78,-3.23,-4.07,-2.41,-1.47,-3.53,-4.77,-0.59,-3.17,-2.32
2/1/2003,-3.11,-5.05,-2.16,1.98,1.27,-6.44,-1.21,-1.94,-3.92,-2.62
3/1/2003,-2.67,-2.76,1.31,1.18,-0.97,-0.60,4.61,3.79,4.35,0.75
4/1/2003,4.70,15.18,6.39,-0.57,9.26,11.15,8.90,4.32,7.44,11.78
5/1/2003,9.22,2.85,4.63,8.91,9.75,6.16,3.41,3.91,10.11,5.30
6/1/2003,1.57,2.68,0.54,-1.21,0.24,1.97,3.47,4.11,0.66,0.94
7/1/2003,-2.33,6.60,4.95,-2.70,5.66,-1.65,3.32,0.62,-5.25,3.53
8/1/2003,0.66,7.86,4.19,6.26,6.07,1.34,6.76,-2.53,1.91,0.61
9/1/2003,1.11,-4.07,-3.75,-2.31,-0.89,-5.65,-4.53,0.24,3.90,0.35
10/1/2003,5.59,6.97,8.86,1.54,8.23,6.66,9.03,0.72,1.58,6.42
11/1/2003,3.78,3.09,2.08,0.61,1.89,-0.63,0.58,1.64,0.94,1.11
12/1/2003,3.31,12.30,6.75,13.58,2.11,7.39,-2.13,5.69,5.81,4.48
1/1/2004,0.12,-1.12,-0.62,0.45,4.49,1.42,0.45,3.04,1.92,2.72
2/1/2004,4.28,-0.11,1.99,4.69,-2.92,-0.79,6.08,0.91,2.06,2.02
3/1/2004,-0.30,-1.15,-0.22,-0.16,-2.53,-2.44,0.30,-3.91,1.17,-0.61
4/1/2004,1.51,2.38,-0.19,2.48,-4.89,-0.51,-2.68,3.57,-3.51,-3.84
5/1/2004,-2.19,-1.61,1.59,0.42,4.82,-2.95,0.27,-0.38,1.28,2.08
6/1/2004,1.87,5.08,5.35,5.49,2.63,0.56,0.07,-0.38,2.01,1.51
7/1/2004,-5.83,-4.69,-4.04,3.28,-8.49,-1.27,-3.98,-5.89,1.05,-2.40
8/1/2004,0.83,-2.30,1.28,-1.24,-4.42,1.28,-1.15,1.65,3.67,1.93
9/1/2004,-1.76,2.45,1.91,8.88,3.29,1.34,2.58,-1.41,1.42,1.24
10/1/2004,2.87,-2.65,-1.37,0.66,5.03,3.36,3.08,-2.41,4.23,1.22
11/1/2004,4.52,7.18,7.17,6.56,5.84,3.42,3.61,0.66,4.92,4.96
12/1/2004,4.80,4.85,2.61,-2.09,3.19,4.34,3.43,5.65,2.41,4.42
1/1/2005,-0.08,-6.71,-1.79,3.02,-6.12,-3.93,-1.08,-4.05,1.76,-2.44
2/1/2005,0.60,-0.28,4.15,19.03,-0.19,-0.15,0.86,2.47,2.32,0.22
3/1/2005,-0.88,-7.56,-1.48,-3.27,-2.41,-0.11,0.00,-0.42,0.63,-2.40
4/1/2005,-1.02,-11.06,-4.75,-5.79,-4.54,-1.94,-5.34,3.95,2.10,-1.64
5/1/2005,2.27,8.65,2.89,2.17,7.75,1.42,6.39,1.45,1.70,3.38
6/1/2005,-1.61,1.77,-1.20,5.85,-1.57,0.05,2.47,-0.56,5.57,1.40
7/1/2005,2.41,5.21,5.80,6.14,6.01,2.91,5.84,3.74,2.99,2.44
8/1/2005,0.10,-2.73,-1.40,5.71,-0.58,-1.14,-5.56,-0.33,1.16,-1.70
9/1/2005,0.25,-4.80,0.75,7.05,0.75,-1.58,-1.75,-1.95,4.39,1.22
10/1/2005,-1.81,-4.17,-2.43,-10.01,-1.64,-3.08,1.62,-3.25,-6.85,1.25
11/1/2005,1.01,2.28,5.31,1.38,6.53,2.42,4.00,1.56,-0.19,4.94
12/1/2005,-0.16,-0.66,1.44,0.72,-1.81,-1.59,-0.61,2.40,1.23,0.18
1/1/2006,0.18,6.15,5.03,12.69,3.76,3.58,1.99,2.16,3.05,1.54
2/1/2006,1.15,-0.31,1.19,-8.22,-1.25,3.30,1.44,1.07,0.23,1.09
3/1/2006,1.23,2.77,2.96,4.20,2.96,1.87,2.41,-0.96,-3.64,1.86
4/1/2006,1.03,0.53,4.01,4.64,-1.08,1.56,-1.66,-1.93,1.85,2.24
5/1/2006,1.30,0.50,-3.31,-3.38,-6.79,-0.12,-1.93,-2.19,1.52,-3.23
6/1/2006,-0.08,1.92,-0.51,2.58,-1.18,2.88,0.27,-0.14,2.41,-0.32
7/1/2006,3.49,-3.16,-3.78,4.70,-3.92,2.26,-4.31,4.27,4.87,-1.11
8/1/2006,3.09,2.06,2.08,-3.56,7.19,2.24,2.05,2.31,2.35,1.63
9/1/2006,-0.31,4.27,1.92,-3.53,3.67,3.42,5.76,1.67,-2.15,3.36
10/1/2006,2.59,5.13,4.36,5.02,4.28,5.45,3.91,1.65,5.36,2.89
11/1/2006,1.44,1.86,3.58,8.56,3.02,0.69,-1.31,0.07,3.03,1.74
12/1/2006,1.98,-0.79,0.51,-2.07,-0.99,4.36,1.45,0.07,0.70,3.22
1/1/2007,1.35,2.71,3.23,-1.31,2.17,2.88,3.55,3.49,0.38,1.09
2/1/2007,-1.79,-0.43,0.80,-2.17,-2.48,-2.50,-0.63,-2.81,4.25,-2.31
3/1/2007,2.47,-1.07,1.58,5.99,0.91,2.32,0.73,-0.21,4.34,-0.27
4/1/2007,3.74,6.26,4.40,5.39,4.90,2.11,2.23,6.83,3.92,3.39
5/1/2007,2.81,3.42,4.84,7.19,3.90,6.68,2.51,1.09,1.20,3.35
6/1/2007,-0.86,2.12,-0.60,1.04,0.60,-1.73,-1.95,-3.40,-4.78,-2.68
7/1/2007,-4.26,-5.90,-0.10,-1.02,-1.26,-3.15,-5.36,-4.03,-3.82,-5.48
8/1/2007,1.83,-1.78,0.74,0.30,2.69,-0.80,1.40,2.30,1.93,0.89
9/1/2007,3.76,1.60,5.40,7.80,4.19,1.97,-0.72,3.58,3.57,2.68
10/1/2007,2.20,1.04,0.96,2.74,6.81,-2.29,1.07,1.44,6.69,-0.12
11/1/2007,1.04,-8.72,-2.64,-4.00,-7.42,-6.75,-3.78,0.03,-0.69,-6.32
12/1/2007,-1.11,-1.89,0.89,7.60,1.43,-0.20,-2.72,-4.07,0.89,-3.60
1/1/2008,-4.95,-5.94,-7.44,-9.34,-12.31,-7.66,-0.42,-4.56,-6.92,-1.98
2/1/2008,-0.22,-5.91,0.76,7.16,-3.70,-3.81,-4.85,-0.92,-3.01,-8.32
3/1/2008,1.18,-4.14,0.04,-2.80,0.73,-0.21,1.88,-1.79,0.88,-1.73
4/1/2008,-1.38,6.63,4.95,10.71,6.80,4.42,5.18,0.41,6.33,3.65
5/1/2008,3.67,1.75,3.31,4.37,5.40,4.80,1.05,1.63,3.57,-2.42
6/1/2008,-7.37,-19.30,-9.32,2.91,-8.97,-11.05,-8.10,-3.01,-0.58,-14.82
7/1/2008,1.91,-0.21,-0.22,-15.69,-0.82,-3.01,1.15,6.76,-7.23,4.32
8/1/2008,1.91,2.47,1.51,-0.17,2.36,4.09,5.38,1.79,-0.50,0.30
9/1/2008,-2.96,-9.19,-13.34,-12.46,-12.53,-12.70,-5.78,-5.95,-12.11,-6.80
10/1/2008,-12.19,-32.63,-20.75,-17.23,-18.25,-16.35,-15.12,-10.96,-11.07,-20.06
11/1/2008,-6.73,-11.44,-7.82,-0.45,-11.22,-1.82,-7.68,-7.36,1.08,-12.10
12/1/2008,0.30,1.30,1.41,-3.13,2.32,3.44,4.91,6.75,-2.08,1.38
1/1/2009,-3.63,-12.48,-9.23,-3.11,-3.14,-10.36,-7.62,-2.20,-0.81,-18.34
2/1/2009,-7.59,-12.82,-13.50,-11.95,-4.97,-7.14,-3.11,-9.92,-12.65,-14.01
3/1/2009,6.38,12.83,7.58,3.76,11.32,7.64,9.94,7.05,2.79,12.90
4/1/2009,4.78,42.63,17.51,5.20,12.37,10.43,9.56,-0.95,2.13,16.37
5/1/2009,6.76,-2.82,5.39,10.77,3.16,1.52,-0.90,6.26,4.66,7.75
6/1/2009,0.34,3.71,-1.70,-4.84,4.36,1.63,-0.32,3.54,4.66,-1.92
7/1/2009,7.44,18.43,11.41,5.31,8.28,5.42,6.75,5.52,4.35,8.91
8/1/2009,0.83,2.65,2.94,0.73,2.38,1.03,3.69,2.19,0.21,8.06
9/1/2009,4.32,3.08,6.45,5.19,5.24,6.34,2.38,2.40,2.33,3.22
10/1/2009,-0.69,-0.25,-2.71,2.23,-1.38,-3.54,0.06,-3.67,-2.74,-5.23
11/1/2009,3.82,9.46,7.60,3.17,4.98,6.49,5.04,8.22,4.51,5.75
12/1/2009,2.67,5.07,2.80,-0.55,5.89,6.25,1.97,2.45,5.86,1.23
1/1/2010,-2.33,-0.87,-3.27,-4.73,-7.83,-6.84,-1.85,0.00,-4.50,-1.66
2/1/2010,2.72,7.30,5.18,2.41,4.76,2.92,4.29,0.38,-0.43,3.39
3/1/2010,5.98,9.28,6.52,3.17,6.67,7.88,6.24,3.61,3.10,8.42
4/1/2010,-0.93,7.20,3.24,3.60,2.17,3.82,2.56,-2.23,2.86,2.16
5/1/2010,-5.68,-8.70,-8.31,-10.70,-7.67,-5.91,-5.34,-8.01,-6.31,-8.83
6/1/2010,-1.94,-10.31,-5.75,-6.41,-6.16,-4.33,-9.02,-1.63,-0.72,-7.66
7/1/2010,7.37,15.02,9.58,7.74,7.50,9.74,4.62,2.14,6.79,7.49
8/1/2010,-1.25,-9.48,-5.51,-3.38,-6.46,-2.23,-3.93,-1.66,0.41,-7.55
9/1/2010,6.20,13.63,10.11,9.64,12.43,7.86,12.08,9.01,3.64,8.84
10/1/2010,4.35,8.40,5.13,4.38,6.36,4.81,2.43,2.00,1.86,2.60
11/1/2010,0.05,7.28,1.48,5.59,-0.81,-1.86,4.18,-3.34,-1.31,0.51
12/1/2010,4.37,8.54,7.01,9.37,6.05,6.71,3.26,5.41,3.22,9.73
1/1/2011,-2.35,0.48,2.83,6.93,3.92,0.05,-0.88,-0.71,2.23,1.98
2/1/2011,4.86,-1.40,3.43,7.65,2.31,7.59,2.27,3.33,2.43,2.67
3/1/2011,3.05,1.73,1.84,1.91,-1.59,1.77,1.10,2.30,0.91,-0.86
4/1/2011,4.59,2.22,2.99,1.30,3.11,3.41,4.53,6.38,3.99,1.11
5/1/2011,1.93,-3.54,-2.15,-4.56,-1.66,0.77,0.83,1.97,1.30,-2.39
6/1/2011,-1.01,-1.23,-0.59,-2.49,-2.33,-1.24,-0.89,-1.83,-0.34,-2.06
7/1/2011,-0.43,-8.91,-4.70,0.51,-0.37,-5.03,-0.67,-3.65,-0.35,-3.76
8/1/2011,-0.68,-12.00,-6.09,-10.11,-6.89,-5.45,-2.88,-3.10,0.14,-7.61
9/1/2011,-4.86,-14.11,-11.03,-12.47,-4.82,-5.94,-3.89,-3.96,-1.63,-10.31
10/1/2011,6.45,23.20,14.07,16.45,11.89,7.72,9.77,5.53,6.68,13.32
11/1/2011,1.40,-8.01,1.40,1.66,-1.99,0.05,1.10,1.27,0.99,-1.62
12/1/2011,1.88,-1.16,-0.80,-0.59,-1.46,3.20,0.87,3.53,2.95,1.07
1/1/2012,0.44,13.51,6.74,1.39,8.16,2.31,4.05,3.39,-2.71,6.77
2/1/2012,3.97,6.02,3.83,6.56,6.73,5.00,3.19,1.23,1.25,3.86
3/1/2012,3.91,0.92,0.70,-3.26,4.69,2.52,4.61,3.96,1.44,4.76
4/1/2012,0.82,-6.98,-0.68,-1.71,-2.09,1.62,1.00,0.62,1.74,-1.71
5/1/2012,-2.65,-8.15,-7.79,-10.73,-7.86,-1.05,-3.09,-3.29,-0.93,-7.20
6/1/2012,3.34,-5.51,1.22,5.85,2.85,7.04,2.11,6.80,3.40,4.76
7/1/2012,1.37,0.31,0.89,2.74,-0.52,4.07,1.26,1.65,3.73,-0.98
8/1/2012,0.21,4.11,3.31,2.40,4.53,1.08,2.70,0.97,-3.34,2.78
9/1/2012,0.88,3.58,1.63,3.58,1.58,4.81,1.97,4.71,2.17,3.80
10/1/2012,-1.71,5.91,-0.66,-1.79,-6.30,-2.30,-1.01,-1.89,1.05,0.65
11/1/2012,3.26,3.11,2.64,-1.51,1.89,0.06,1.42,1.50,-3.68,-0.03
12/1/2012,-2.26,7.30,2.79,1.28,0.23,1.15,-1.09,-0.53,0.14,3.43
1/1/2013,5.10,3.54,6.03,7.67,2.51,4.96,5.57,8.07,5.08,6.95
